# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.capacityInBytes,1706184176411000000,1706184190028000000,503316478
FilePageCache.maxRegisteredFiles,1706184176411000000,1706184190028000000,577
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1706184176411000000,1706184190028000000,42074112
FilePageCache.uncachedFileAccess,1706184176411000000,1706184190028000000,199
FilePageCacheLockFree.totalNativeBytesAllocated,1706184176411000000,1706184190028000000,114688
StorageLockContext.competingThreads.avg,1706184176411000000,1706184190028000000,0.0
FilePageCache.disposedBuffers,1706184176411000000,1706184190028000000,267
StorageLockContext.competingThreads.90P,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1706184176411000000,1706184190028000000,11572
FilePageCacheLockFree.totalPagesRequested,1706184176411000000,1706184190028000000,3513
FilePageCacheLockFree.totalPageAllocationsWaited,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1706184176411000000,1706184190028000000,114688
FilePageCache.pageHits,1706184176411000000,1706184190028000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1706184176411000000,1706184190028000000,42074112
FilePageCache.maxCacheSizeInBytes,1706184176411000000,1706184190028000000,257966080
FilePageCache.totalPageLoadsUs,1706184176411000000,1706184190028000000,587778
DirectByteBufferAllocator.disposed,1706184176411000000,1706184190028000000,206
FilePageCacheLockFree.totalBytesWritten,1706184176411000000,1706184190028000000,17962
NonBlockingReadAction.finalizedExecutionTimeUs,1706184176411000000,1706184190028000000,756022
AWTEventQueue.dispatchTimeTotalNS,1706184176411000000,1706184190028000000,5639784729
NonBlockingReadAction.finalizedExecutionsCount,1706184176411000000,1706184190028000000,13
NonBlockingReadAction.failedExecutionTimeUs,1706184176411000000,1706184190028000000,5359
NonBlockingReadAction.failedExecutionsCount,1706184176411000000,1706184190028000000,1
